x,y,marker,order
9388,16488,1.066859981,18211
9783,16349,1.018356691,18360
10199,16336,1.406087219,18483
10594,16225,1.250076873,18599
11112,16097,1.208175091,22455
11545,15998,1.441941292,22603
12037,15801,2.559759531,22718
12472,15621,2.392876035,22777
12785,15466,1.133664285,22818
13175,15240,1.138992924,25842
13554,15111,1.085457224,25883
13917,14914,1.514106376,25934
14221,14732,1.613385924,25670
14436,14357,1.417199697,25756
14747,14090,2.249418915,25812
14874,13941,1.109294496,27608
15278,13521,1.548307737,27652
15662,13233,1.267958737,27699
16066,13130,1.144258363,27778
16330,13014,1.92610853,27801
16607,12773,2.936361075,28689
16521,12173,1.108802809,27551
17898,10734,1.6805047,28423
18243,10697,1.424630167,28612
18439,10029,1.789839511,28686
18344,9442,1.339849745,28651
18138,9088,1.598678744,28243
18182,8473,1.168483079,28255
17982,7799,1.3270042,28213
17466,7352,1.475960659,27976
17226,6790,1.435533287,27941
16962,6222,1.576074598,27894
16615,5525,1.261605244,27803
16359,5129,1.749764399,26170
15925,4576,1.125135771,26107
15629,4223,1.102133542,26086
15413,4156,1.278869024,26059
15115,4137,1.381235733,26016
14916,3519,1.490694769,25963
14626,3150,1.008832206,23057
14225,2806,1.036636422,23015
13850,2466,1.325810599,22970
13599,2194,1.061455114,22934
13317,2093,1.283608462,22897
13124,1971,2.154212292,22877
12698,1844,1.449128959,19322
12296,1600,2.016365705,19008
12062,1196,1.912773904,18982
11954,843,1.131214319,18961
11446,532,1.59708076,18858
11108,426,1.201832023,18757
10626,370,1.196644766,15131
10190,172,2.070960791,15033
9830,207,1.329724116,14909
9658,376,1.277678897,14856
9316,363,1.434027387,14777
8919,461,1.10967955,10943
8608,350,1.031193549,10884
8398,364,1.462941807,10834
8059,242,1.352737422,10773
7652,391,1.372986508,10707
7307,270,1.773491781,7004
7038,460,1.711641703,6970
6730,540,1.446509813,6938
6384,708,1.006923878,6907
6190,826,2.593336292,6873
5872,754,1.364555288,6827
5612,810,1.150623584,6787
5337,867,1.533399017,3570
5089,1204,1.260421633,3524
4791,1421,1.257432635,3482
4323,1524,1.939845366,3419
4047,1668,1.258939187,3385
3774,1734,2.141179107,3344
3488,1864,1.586999436,1087
3210,1919,1.120439334,1044
2975,2037,1.18966233,1008
2719,2132,1.096038271,975
2449,2253,1.178684068,939
2177,2512,1.636402705,822
2055,2836,1.565915959,758
1898,3184,1.274770906,717
1705,3251,1.297908654,78
1461,3385,1.875506013,24
1208,3682,1.909960602,1
1021,4022,1.779164861,197
987,4428,1.347590343,193
759,4500,1.840313025,166
510,4508,1.040722811,151
260,4538,1.207189111,134
78,4206,2.691016554,112
